,Sector,Antwoord_reclass,Question_label,Aantal_tot,totaal
70,Landbouwers,Onbelangrijk,Gezondheidsrisico mensen,5,194
71,Landbouwers,Onbelangrijk,Gezondheidsrisico vee,3,194
72,Landbouwers,Onbelangrijk,Inkomsten toerisme,55,194
73,Landbouwers,Onbelangrijk,Landbouwschade,3,194
74,Landbouwers,Onbelangrijk,Mogelijkheid tot waarnemingen,68,194
75,Landbouwers,Onbelangrijk,Negatieve impact andere soorten,29,194
76,Landbouwers,Onbelangrijk,Negatieve impact ecosysteem,31,194
77,Landbouwers,Onbelangrijk,Negatieve impact jacht,52,194
78,Landbouwers,Onbelangrijk,Positieve impact andere soorten,70,194
79,Landbouwers,Onbelangrijk,Positieve impact ecosysteem,62,194
80,Landbouwers,Onbelangrijk,Positieve impact jacht,49,194
81,Landbouwers,Onbelangrijk,Risico onveilige ontmoeting,16,194
82,Landbouwers,Onbelangrijk,Schade private eigendommen,15,194
83,Landbouwers,Onbelangrijk,Schade publieke eigendommen,18,194
84,Landbouwers,Onbelangrijk,Verkeersveiligheid,4,194
85,Landbouwers,Onbelangrijk,Verlies toerisme,38,194
86,Natuurvereniging,Onbelangrijk,Beschikbaarheid wildbraad,59,130
87,Natuurvereniging,Onbelangrijk,Gezondheidsrisico mensen,27,130
88,Natuurvereniging,Onbelangrijk,Gezondheidsrisico vee,24,130
89,Natuurvereniging,Onbelangrijk,Inkomsten toerisme,49,130
90,Natuurvereniging,Onbelangrijk,Landbouwschade,9,130
91,Natuurvereniging,Onbelangrijk,Mogelijkheid tot waarnemingen,31,130
92,Natuurvereniging,Onbelangrijk,Negatieve impact andere soorten,20,130
93,Natuurvereniging,Onbelangrijk,Negatieve impact ecosysteem,23,130
94,Natuurvereniging,Onbelangrijk,Negatieve impact jacht,57,130
95,Natuurvereniging,Onbelangrijk,Positieve impact andere soorten,19,130
96,Natuurvereniging,Onbelangrijk,Positieve impact ecosysteem,14,130
97,Natuurvereniging,Onbelangrijk,Positieve impact jacht,67,130
98,Natuurvereniging,Onbelangrijk,Risico onveilige ontmoeting,38,130
99,Natuurvereniging,Onbelangrijk,Schade private eigendommen,34,130
100,Natuurvereniging,Onbelangrijk,Schade publieke eigendommen,34,130
101,Natuurvereniging,Onbelangrijk,Verkeersveiligheid,13,130
102,Natuurvereniging,Onbelangrijk,Verlies toerisme,50,130
103,Jagers,Neutraal,Beschikbaarheid wildbraad,57,314
104,Jagers,Neutraal,Gezondheidsrisico mensen,48,314
105,Jagers,Neutraal,Gezondheidsrisico vee,27,314
106,Jagers,Neutraal,Inkomsten toerisme,110,314
107,Jagers,Neutraal,Landbouwschade,8,314
108,Jagers,Neutraal,Mogelijkheid tot waarnemingen,101,314
109,Jagers,Neutraal,Negatieve impact andere soorten,47,314
110,Jagers,Neutraal,Negatieve impact ecosysteem,48,314
111,Jagers,Neutraal,Negatieve impact jacht,91,314
112,Jagers,Neutraal,Positieve impact andere soorten,85,314
113,Jagers,Neutraal,Positieve impact ecosysteem,68,314
114,Jagers,Neutraal,Positieve impact jacht,42,314
115,Jagers,Neutraal,Risico onveilige ontmoeting,88,314
116,Jagers,Neutraal,Schade private eigendommen,45,314
117,Jagers,Neutraal,Schade publieke eigendommen,55,314
118,Jagers,Neutraal,Verkeersveiligheid,22,314
119,Jagers,Neutraal,Verlies toerisme,103,314
120,Landbouwers,Neutraal,Beschikbaarheid wildbraad,61,194
121,Landbouwers,Neutraal,Gezondheidsrisico mensen,12,194
122,Landbouwers,Neutraal,Gezondheidsrisico vee,1,194
123,Landbouwers,Neutraal,Inkomsten toerisme,59,194
124,Landbouwers,Neutraal,Mogelijkheid tot waarnemingen,44,194
125,Landbouwers,Neutraal,Negatieve impact andere soorten,39,194
126,Landbouwers,Neutraal,Negatieve impact ecosysteem,44,194
127,Landbouwers,Neutraal,Negatieve impact jacht,57,194
128,Landbouwers,Neutraal,Positieve impact andere soorten,53,194
129,Landbouwers,Neutraal,Positieve impact ecosysteem,61,194
130,Landbouwers,Neutraal,Positieve impact jacht,44,194
131,Landbouwers,Neutraal,Risico onveilige ontmoeting,22,194
132,Landbouwers,Neutraal,Schade private eigendommen,15,194
133,Landbouwers,Neutraal,Schade publieke eigendommen,21,194
134,Landbouwers,Neutraal,Verkeersveiligheid,10,194
135,Landbouwers,Neutraal,Verlies toerisme,49,194
136,Natuurvereniging,Neutraal,Beschikbaarheid wildbraad,38,130
137,Natuurvereniging,Neutraal,Gezondheidsrisico mensen,38,130
138,Natuurvereniging,Neutraal,Gezondheidsrisico vee,41,130
139,Natuurvereniging,Neutraal,Inkomsten toerisme,51,130
140,Natuurvereniging,Neutraal,Landbouwschade,38,130
141,Natuurvereniging,Neutraal,Mogelijkheid tot waarnemingen,50,130
142,Natuurvereniging,Neutraal,Negatieve impact andere soorten,34,130
143,Natuurvereniging,Neutraal,Negatieve impact ecosysteem,26,130
144,Natuurvereniging,Neutraal,Negatieve impact jacht,40,130
145,Natuurvereniging,Neutraal,Positieve impact andere soorten,28,130
146,Natuurvereniging,Neutraal,Positieve impact ecosysteem,26,130
147,Natuurvereniging,Neutraal,Positieve impact jacht,32,130
148,Natuurvereniging,Neutraal,Risico onveilige ontmoeting,36,130
149,Natuurvereniging,Neutraal,Schade private eigendommen,35,130
150,Natuurvereniging,Neutraal,Schade publieke eigendommen,40,130
151,Natuurvereniging,Neutraal,Verkeersveiligheid,27,130
152,Natuurvereniging,Neutraal,Verlies toerisme,46,130
