"","Question_label","Antwoord","Sector","aantal","totaal","percentage"
"42","Gezondheidsrisico vee","Erg belangrijk","Natuurvereniging",20,130,"15.4"
"43","Gezondheidsrisico vee","Geen mening","Jagers",2,314," 0.6"
"44","Gezondheidsrisico vee","Geen mening","Landbouwers",2,194," 1.0"
"45","Gezondheidsrisico vee","Geen mening","Natuurvereniging",3,130," 2.3"
"46","Gezondheidsrisico vee","Helemaal niet belangrijk","Jagers",4,314," 1.3"
"47","Gezondheidsrisico vee","Helemaal niet belangrijk","Landbouwers",1,194," 0.5"
"48","Gezondheidsrisico vee","Helemaal niet belangrijk","Natuurvereniging",4,130," 3.1"
"49","Gezondheidsrisico vee","Neutraal","Jagers",27,314," 8.6"
"50","Gezondheidsrisico vee","Neutraal","Landbouwers",1,194," 0.5"
"51","Gezondheidsrisico vee","Neutraal","Natuurvereniging",41,130,"31.5"
"52","Gezondheidsrisico vee","Niet belangrijk","Jagers",13,314," 4.1"
"53","Gezondheidsrisico vee","Niet belangrijk","Landbouwers",2,194," 1.0"
"54","Gezondheidsrisico vee","Niet belangrijk","Natuurvereniging",20,130,"15.4"
"55","Inkomsten toerisme","Belangrijk","Jagers",80,314,"25.5"
"56","Inkomsten toerisme","Belangrijk","Landbouwers",39,194,"20.1"
"57","Inkomsten toerisme","Belangrijk","Natuurvereniging",22,130,"16.9"
"58","Inkomsten toerisme","Erg belangrijk","Jagers",47,314,"15.0"
"59","Inkomsten toerisme","Erg belangrijk","Landbouwers",32,194,"16.5"
"60","Inkomsten toerisme","Erg belangrijk","Natuurvereniging",7,130," 5.4"
"61","Inkomsten toerisme","Geen mening","Jagers",17,314," 5.4"
"62","Inkomsten toerisme","Geen mening","Landbouwers",9,194," 4.6"
"63","Inkomsten toerisme","Geen mening","Natuurvereniging",1,130," 0.8"
"64","Inkomsten toerisme","Helemaal niet belangrijk","Jagers",13,314," 4.1"
"65","Inkomsten toerisme","Helemaal niet belangrijk","Landbouwers",17,194," 8.8"
"66","Inkomsten toerisme","Helemaal niet belangrijk","Natuurvereniging",13,130,"10.0"
"67","Inkomsten toerisme","Neutraal","Jagers",110,314,"35.0"
"68","Inkomsten toerisme","Neutraal","Landbouwers",59,194,"30.4"
"69","Inkomsten toerisme","Neutraal","Natuurvereniging",51,130,"39.2"
"70","Inkomsten toerisme","Niet belangrijk","Jagers",47,314,"15.0"
"71","Inkomsten toerisme","Niet belangrijk","Landbouwers",38,194,"19.6"
"72","Inkomsten toerisme","Niet belangrijk","Natuurvereniging",36,130,"27.7"
"73","Landbouwschade","Belangrijk","Jagers",101,314,"32.2"
"74","Landbouwschade","Belangrijk","Landbouwers",9,194," 4.6"
"75","Landbouwschade","Belangrijk","Natuurvereniging",63,130,"48.5"
"76","Landbouwschade","Erg belangrijk","Jagers",197,314,"62.7"
"77","Landbouwschade","Erg belangrijk","Landbouwers",180,194,"92.8"
"78","Landbouwschade","Erg belangrijk","Natuurvereniging",18,130,"13.8"
"79","Landbouwschade","Geen mening","Jagers",1,314," 0.3"
"80","Landbouwschade","Geen mening","Landbouwers",2,194," 1.0"
"81","Landbouwschade","Geen mening","Natuurvereniging",2,130," 1.5"
"82","Landbouwschade","Helemaal niet belangrijk","Jagers",4,314," 1.3"
"83","Landbouwschade","Helemaal niet belangrijk","Landbouwers",3,194," 1.5"
"84","Landbouwschade","Helemaal niet belangrijk","Natuurvereniging",3,130," 2.3"
"85","Landbouwschade","Neutraal","Jagers",8,314," 2.5"
"86","Landbouwschade","Neutraal","Natuurvereniging",38,130,"29.2"
"87","Landbouwschade","Niet belangrijk","Jagers",3,314," 1.0"
"88","Landbouwschade","Niet belangrijk","Natuurvereniging",6,130," 4.6"
"89","Mogelijkheid tot waarnemingen","Belangrijk","Jagers",70,314,"22.3"
"90","Mogelijkheid tot waarnemingen","Belangrijk","Landbouwers",28,194,"14.4"
"91","Mogelijkheid tot waarnemingen","Belangrijk","Natuurvereniging",34,130,"26.2"
"92","Mogelijkheid tot waarnemingen","Erg belangrijk","Jagers",58,314,"18.5"
"93","Mogelijkheid tot waarnemingen","Erg belangrijk","Landbouwers",48,194,"24.7"
"94","Mogelijkheid tot waarnemingen","Erg belangrijk","Natuurvereniging",14,130,"10.8"
"95","Mogelijkheid tot waarnemingen","Geen mening","Jagers",10,314," 3.2"
"96","Mogelijkheid tot waarnemingen","Geen mening","Landbouwers",6,194," 3.1"
"97","Mogelijkheid tot waarnemingen","Geen mening","Natuurvereniging",1,130," 0.8"
"98","Mogelijkheid tot waarnemingen","Helemaal niet belangrijk","Jagers",25,314," 8.0"
"99","Mogelijkheid tot waarnemingen","Helemaal niet belangrijk","Landbouwers",21,194,"10.8"
"100","Mogelijkheid tot waarnemingen","Helemaal niet belangrijk","Natuurvereniging",10,130," 7.7"
"101","Mogelijkheid tot waarnemingen","Neutraal","Jagers",101,314,"32.2"
"102","Mogelijkheid tot waarnemingen","Neutraal","Landbouwers",44,194,"22.7"
"103","Mogelijkheid tot waarnemingen","Neutraal","Natuurvereniging",50,130,"38.5"
"104","Mogelijkheid tot waarnemingen","Niet belangrijk","Jagers",50,314,"15.9"
"105","Mogelijkheid tot waarnemingen","Niet belangrijk","Landbouwers",47,194,"24.2"
"106","Mogelijkheid tot waarnemingen","Niet belangrijk","Natuurvereniging",21,130,"16.2"
"107","Negatieve impact andere soorten","Belangrijk","Jagers",96,314,"30.6"
"108","Negatieve impact andere soorten","Belangrijk","Landbouwers",47,194,"24.2"
"109","Negatieve impact andere soorten","Belangrijk","Natuurvereniging",48,130,"36.9"
"110","Negatieve impact andere soorten","Erg belangrijk","Jagers",139,314,"44.3"
"111","Negatieve impact andere soorten","Erg belangrijk","Landbouwers",70,194,"36.1"
"112","Negatieve impact andere soorten","Erg belangrijk","Natuurvereniging",27,130,"20.8"
"113","Negatieve impact andere soorten","Geen mening","Jagers",10,314," 3.2"
"114","Negatieve impact andere soorten","Geen mening","Landbouwers",9,194," 4.6"
"115","Negatieve impact andere soorten","Geen mening","Natuurvereniging",1,130," 0.8"
"116","Negatieve impact andere soorten","Helemaal niet belangrijk","Jagers",9,314," 2.9"
"117","Negatieve impact andere soorten","Helemaal niet belangrijk","Landbouwers",11,194," 5.7"
"118","Negatieve impact andere soorten","Helemaal niet belangrijk","Natuurvereniging",3,130," 2.3"
"119","Negatieve impact andere soorten","Neutraal","Jagers",47,314,"15.0"
"120","Negatieve impact andere soorten","Neutraal","Landbouwers",39,194,"20.1"
"121","Negatieve impact andere soorten","Neutraal","Natuurvereniging",34,130,"26.2"
"122","Negatieve impact andere soorten","Niet belangrijk","Jagers",13,314," 4.1"
"123","Negatieve impact andere soorten","Niet belangrijk","Landbouwers",18,194," 9.3"
"124","Negatieve impact andere soorten","Niet belangrijk","Natuurvereniging",17,130,"13.1"
"125","Negatieve impact ecosysteem","Belangrijk","Jagers",110,314,"35.0"
"126","Negatieve impact ecosysteem","Belangrijk","Landbouwers",49,194,"25.3"
"127","Negatieve impact ecosysteem","Belangrijk","Natuurvereniging",53,130,"40.8"
"128","Negatieve impact ecosysteem","Erg belangrijk","Jagers",118,314,"37.6"
"129","Negatieve impact ecosysteem","Erg belangrijk","Landbouwers",63,194,"32.5"
"130","Negatieve impact ecosysteem","Erg belangrijk","Natuurvereniging",27,130,"20.8"
"131","Negatieve impact ecosysteem","Geen mening","Jagers",9,314," 2.9"
"132","Negatieve impact ecosysteem","Geen mening","Landbouwers",7,194," 3.6"
"133","Negatieve impact ecosysteem","Geen mening","Natuurvereniging",1,130," 0.8"
"134","Negatieve impact ecosysteem","Helemaal niet belangrijk","Jagers",5,314," 1.6"
"135","Negatieve impact ecosysteem","Helemaal niet belangrijk","Landbouwers",10,194," 5.2"
"136","Negatieve impact ecosysteem","Helemaal niet belangrijk","Natuurvereniging",4,130," 3.1"
"137","Negatieve impact ecosysteem","Neutraal","Jagers",48,314,"15.3"
"138","Negatieve impact ecosysteem","Neutraal","Landbouwers",44,194,"22.7"
"139","Negatieve impact ecosysteem","Neutraal","Natuurvereniging",26,130,"20.0"
"140","Negatieve impact ecosysteem","Niet belangrijk","Jagers",24,314," 7.6"
"141","Negatieve impact ecosysteem","Niet belangrijk","Landbouwers",21,194,"10.8"
"142","Negatieve impact ecosysteem","Niet belangrijk","Natuurvereniging",19,130,"14.6"
"143","Negatieve impact jacht","Belangrijk","Jagers",81,314,"25.8"
"144","Negatieve impact jacht","Belangrijk","Landbouwers",34,194,"17.5"
"145","Negatieve impact jacht","Belangrijk","Natuurvereniging",15,130,"11.5"
"146","Negatieve impact jacht","Erg belangrijk","Jagers",59,314,"18.8"
"147","Negatieve impact jacht","Erg belangrijk","Landbouwers",33,194,"17.0"
"148","Negatieve impact jacht","Erg belangrijk","Natuurvereniging",11,130," 8.5"
"149","Negatieve impact jacht","Geen mening","Jagers",19,314," 6.1"
"150","Negatieve impact jacht","Geen mening","Landbouwers",18,194," 9.3"
"151","Negatieve impact jacht","Geen mening","Natuurvereniging",7,130," 5.4"
"152","Negatieve impact jacht","Helemaal niet belangrijk","Jagers",22,314," 7.0"
"153","Negatieve impact jacht","Helemaal niet belangrijk","Landbouwers",17,194," 8.8"
"154","Negatieve impact jacht","Helemaal niet belangrijk","Natuurvereniging",23,130,"17.7"
"155","Negatieve impact jacht","Neutraal","Jagers",91,314,"29.0"
"156","Negatieve impact jacht","Neutraal","Landbouwers",57,194,"29.4"
"157","Negatieve impact jacht","Neutraal","Natuurvereniging",40,130,"30.8"
"158","Negatieve impact jacht","Niet belangrijk","Jagers",42,314,"13.4"
"159","Negatieve impact jacht","Niet belangrijk","Landbouwers",35,194,"18.0"
"160","Negatieve impact jacht","Niet belangrijk","Natuurvereniging",34,130,"26.2"
"161","Positieve impact andere soorten","Belangrijk","Jagers",82,314,"26.1"
"162","Positieve impact andere soorten","Belangrijk","Landbouwers",37,194,"19.1"
"163","Positieve impact andere soorten","Belangrijk","Natuurvereniging",52,130,"40.0"
"164","Positieve impact andere soorten","Erg belangrijk","Jagers",85,314,"27.1"
"165","Positieve impact andere soorten","Erg belangrijk","Landbouwers",24,194,"12.4"
"166","Positieve impact andere soorten","Erg belangrijk","Natuurvereniging",30,130,"23.1"
"167","Positieve impact andere soorten","Geen mening","Jagers",14,314," 4.5"
"168","Positieve impact andere soorten","Geen mening","Landbouwers",10,194," 5.2"
"169","Positieve impact andere soorten","Geen mening","Natuurvereniging",1,130," 0.8"
"170","Positieve impact andere soorten","Helemaal niet belangrijk","Jagers",17,314," 5.4"
"171","Positieve impact andere soorten","Helemaal niet belangrijk","Landbouwers",23,194,"11.9"
"172","Positieve impact andere soorten","Helemaal niet belangrijk","Natuurvereniging",5,130," 3.8"
"173","Positieve impact andere soorten","Neutraal","Jagers",85,314,"27.1"
"174","Positieve impact andere soorten","Neutraal","Landbouwers",53,194,"27.3"
"175","Positieve impact andere soorten","Neutraal","Natuurvereniging",28,130,"21.5"
"176","Positieve impact andere soorten","Niet belangrijk","Jagers",31,314," 9.9"
"177","Positieve impact andere soorten","Niet belangrijk","Landbouwers",47,194,"24.2"
"178","Positieve impact andere soorten","Niet belangrijk","Natuurvereniging",14,130,"10.8"
"179","Positieve impact ecosysteem","Belangrijk","Jagers",106,314,"33.8"
"180","Positieve impact ecosysteem","Belangrijk","Landbouwers",32,194,"16.5"
"181","Positieve impact ecosysteem","Belangrijk","Natuurvereniging",55,130,"42.3"
"182","Positieve impact ecosysteem","Erg belangrijk","Jagers",86,314,"27.4"
"183","Positieve impact ecosysteem","Erg belangrijk","Landbouwers",30,194,"15.5"
"184","Positieve impact ecosysteem","Erg belangrijk","Natuurvereniging",34,130,"26.2"
"185","Positieve impact ecosysteem","Geen mening","Jagers",12,314," 3.8"
"186","Positieve impact ecosysteem","Geen mening","Landbouwers",9,194," 4.6"
"187","Positieve impact ecosysteem","Geen mening","Natuurvereniging",1,130," 0.8"
"188","Positieve impact ecosysteem","Helemaal niet belangrijk","Jagers",14,314," 4.5"
"189","Positieve impact ecosysteem","Helemaal niet belangrijk","Landbouwers",17,194," 8.8"
"190","Positieve impact ecosysteem","Helemaal niet belangrijk","Natuurvereniging",4,130," 3.1"
"191","Positieve impact ecosysteem","Neutraal","Jagers",68,314,"21.7"
"192","Positieve impact ecosysteem","Neutraal","Landbouwers",61,194,"31.4"
"193","Positieve impact ecosysteem","Neutraal","Natuurvereniging",26,130,"20.0"
"194","Positieve impact ecosysteem","Niet belangrijk","Jagers",28,314," 8.9"
"195","Positieve impact ecosysteem","Niet belangrijk","Landbouwers",45,194,"23.2"
"196","Positieve impact ecosysteem","Niet belangrijk","Natuurvereniging",10,130," 7.7"
"197","Positieve impact jacht","Belangrijk","Jagers",109,314,"34.7"
"198","Positieve impact jacht","Belangrijk","Landbouwers",38,194,"19.6"
"199","Positieve impact jacht","Belangrijk","Natuurvereniging",19,130,"14.6"
"200","Positieve impact jacht","Erg belangrijk","Jagers",135,314,"43.0"
"201","Positieve impact jacht","Erg belangrijk","Landbouwers",47,194,"24.2"
"202","Positieve impact jacht","Erg belangrijk","Natuurvereniging",7,130," 5.4"
"203","Positieve impact jacht","Geen mening","Jagers",11,314," 3.5"
"204","Positieve impact jacht","Geen mening","Landbouwers",16,194," 8.2"
"205","Positieve impact jacht","Geen mening","Natuurvereniging",5,130," 3.8"
"206","Positieve impact jacht","Helemaal niet belangrijk","Jagers",9,314," 2.9"
"207","Positieve impact jacht","Helemaal niet belangrijk","Landbouwers",17,194," 8.8"
"208","Positieve impact jacht","Helemaal niet belangrijk","Natuurvereniging",31,130,"23.8"
"209","Positieve impact jacht","Neutraal","Jagers",42,314,"13.4"
"210","Positieve impact jacht","Neutraal","Landbouwers",44,194,"22.7"
"211","Positieve impact jacht","Neutraal","Natuurvereniging",32,130,"24.6"
"212","Positieve impact jacht","Niet belangrijk","Jagers",8,314," 2.5"
"213","Positieve impact jacht","Niet belangrijk","Landbouwers",32,194,"16.5"
"214","Positieve impact jacht","Niet belangrijk","Natuurvereniging",36,130,"27.7"
"215","Risico onveilige ontmoeting","Belangrijk","Jagers",73,314,"23.2"
"216","Risico onveilige ontmoeting","Belangrijk","Landbouwers",47,194,"24.2"
"217","Risico onveilige ontmoeting","Belangrijk","Natuurvereniging",43,130,"33.1"
"218","Risico onveilige ontmoeting","Erg belangrijk","Jagers",95,314,"30.3"
"219","Risico onveilige ontmoeting","Erg belangrijk","Landbouwers",106,194,"54.6"
"220","Risico onveilige ontmoeting","Erg belangrijk","Natuurvereniging",13,130,"10.0"
"221","Risico onveilige ontmoeting","Geen mening","Jagers",7,314," 2.2"
"222","Risico onveilige ontmoeting","Geen mening","Landbouwers",3,194," 1.5"
"223","Risico onveilige ontmoeting","Helemaal niet belangrijk","Jagers",16,314," 5.1"
"224","Risico onveilige ontmoeting","Helemaal niet belangrijk","Landbouwers",7,194," 3.6"
"225","Risico onveilige ontmoeting","Helemaal niet belangrijk","Natuurvereniging",7,130," 5.4"
"226","Risico onveilige ontmoeting","Neutraal","Jagers",88,314,"28.0"
"227","Risico onveilige ontmoeting","Neutraal","Landbouwers",22,194,"11.3"
"228","Risico onveilige ontmoeting","Neutraal","Natuurvereniging",36,130,"27.7"
"229","Risico onveilige ontmoeting","Niet belangrijk","Jagers",35,314,"11.1"
"230","Risico onveilige ontmoeting","Niet belangrijk","Landbouwers",9,194," 4.6"
"231","Risico onveilige ontmoeting","Niet belangrijk","Natuurvereniging",31,130,"23.8"
"232","Schade private eigendommen","Belangrijk","Jagers",100,314,"31.8"
"233","Schade private eigendommen","Belangrijk","Landbouwers",55,194,"28.4"
"234","Schade private eigendommen","Belangrijk","Natuurvereniging",44,130,"33.8"
"235","Schade private eigendommen","Erg belangrijk","Jagers",130,314,"41.4"
"236","Schade private eigendommen","Erg belangrijk","Landbouwers",106,194,"54.6"
"237","Schade private eigendommen","Erg belangrijk","Natuurvereniging",16,130,"12.3"
"238","Schade private eigendommen","Geen mening","Jagers",7,314," 2.2"
"239","Schade private eigendommen","Geen mening","Landbouwers",3,194," 1.5"
"240","Schade private eigendommen","Geen mening","Natuurvereniging",1,130," 0.8"
"241","Schade private eigendommen","Helemaal niet belangrijk","Jagers",11,314," 3.5"
"242","Schade private eigendommen","Helemaal niet belangrijk","Landbouwers",11,194," 5.7"
"243","Schade private eigendommen","Helemaal niet belangrijk","Natuurvereniging",7,130," 5.4"
"244","Schade private eigendommen","Neutraal","Jagers",45,314,"14.3"
"245","Schade private eigendommen","Neutraal","Landbouwers",15,194," 7.7"
"246","Schade private eigendommen","Neutraal","Natuurvereniging",35,130,"26.9"
"247","Schade private eigendommen","Niet belangrijk","Jagers",21,314," 6.7"
"248","Schade private eigendommen","Niet belangrijk","Landbouwers",4,194," 2.1"
"249","Schade private eigendommen","Niet belangrijk","Natuurvereniging",27,130,"20.8"
"250","Schade publieke eigendommen","Belangrijk","Jagers",91,314,"29.0"
"251","Schade publieke eigendommen","Belangrijk","Landbouwers",57,194,"29.4"
"252","Schade publieke eigendommen","Belangrijk","Natuurvereniging",41,130,"31.5"
"253","Schade publieke eigendommen","Erg belangrijk","Jagers",118,314,"37.6"
"254","Schade publieke eigendommen","Erg belangrijk","Landbouwers",95,194,"49.0"
"255","Schade publieke eigendommen","Erg belangrijk","Natuurvereniging",14,130,"10.8"
"256","Schade publieke eigendommen","Geen mening","Jagers",9,314," 2.9"
"257","Schade publieke eigendommen","Geen mening","Landbouwers",3,194," 1.5"
"258","Schade publieke eigendommen","Geen mening","Natuurvereniging",1,130," 0.8"
"259","Schade publieke eigendommen","Helemaal niet belangrijk","Jagers",15,314," 4.8"
"260","Schade publieke eigendommen","Helemaal niet belangrijk","Landbouwers",13,194," 6.7"
"261","Schade publieke eigendommen","Helemaal niet belangrijk","Natuurvereniging",8,130," 6.2"
"262","Schade publieke eigendommen","Neutraal","Jagers",55,314,"17.5"
"263","Schade publieke eigendommen","Neutraal","Landbouwers",21,194,"10.8"
"264","Schade publieke eigendommen","Neutraal","Natuurvereniging",40,130,"30.8"
"265","Schade publieke eigendommen","Niet belangrijk","Jagers",26,314," 8.3"
"266","Schade publieke eigendommen","Niet belangrijk","Landbouwers",5,194," 2.6"
"267","Schade publieke eigendommen","Niet belangrijk","Natuurvereniging",26,130,"20.0"
"268","Verkeersveiligheid","Belangrijk","Jagers",95,314,"30.3"
"269","Verkeersveiligheid","Belangrijk","Landbouwers",39,194,"20.1"
"270","Verkeersveiligheid","Belangrijk","Natuurvereniging",59,130,"45.4"
"271","Verkeersveiligheid","Erg belangrijk","Jagers",177,314,"56.4"
"272","Verkeersveiligheid","Erg belangrijk","Landbouwers",139,194,"71.6"
"273","Verkeersveiligheid","Erg belangrijk","Natuurvereniging",30,130,"23.1"
"274","Verkeersveiligheid","Geen mening","Jagers",6,314," 1.9"
"275","Verkeersveiligheid","Geen mening","Landbouwers",2,194," 1.0"
"276","Verkeersveiligheid","Geen mening","Natuurvereniging",1,130," 0.8"
"277","Verkeersveiligheid","Helemaal niet belangrijk","Jagers",4,314," 1.3"
"278","Verkeersveiligheid","Helemaal niet belangrijk","Landbouwers",4,194," 2.1"
"279","Verkeersveiligheid","Helemaal niet belangrijk","Natuurvereniging",4,130," 3.1"
"280","Verkeersveiligheid","Neutraal","Jagers",22,314," 7.0"
"281","Verkeersveiligheid","Neutraal","Landbouwers",10,194," 5.2"
"282","Verkeersveiligheid","Neutraal","Natuurvereniging",27,130,"20.8"
"283","Verkeersveiligheid","Niet belangrijk","Jagers",10,314," 3.2"
"284","Verkeersveiligheid","Niet belangrijk","Natuurvereniging",9,130," 6.9"
"285","Verlies toerisme","Belangrijk","Jagers",79,314,"25.2"
"286","Verlies toerisme","Belangrijk","Landbouwers",45,194,"23.2"
"287","Verlies toerisme","Belangrijk","Natuurvereniging",29,130,"22.3"
"288","Verlies toerisme","Erg belangrijk","Jagers",52,314,"16.6"
"289","Verlies toerisme","Erg belangrijk","Landbouwers",55,194,"28.4"
"290","Verlies toerisme","Erg belangrijk","Natuurvereniging",4,130," 3.1"
"291","Verlies toerisme","Geen mening","Jagers",17,314," 5.4"
"292","Verlies toerisme","Geen mening","Landbouwers",7,194," 3.6"
"293","Verlies toerisme","Geen mening","Natuurvereniging",1,130," 0.8"
"294","Verlies toerisme","Helemaal niet belangrijk","Jagers",14,314," 4.5"
"295","Verlies toerisme","Helemaal niet belangrijk","Landbouwers",12,194," 6.2"
"296","Verlies toerisme","Helemaal niet belangrijk","Natuurvereniging",13,130,"10.0"
"297","Verlies toerisme","Neutraal","Jagers",103,314,"32.8"
"298","Verlies toerisme","Neutraal","Landbouwers",49,194,"25.3"
"299","Verlies toerisme","Neutraal","Natuurvereniging",46,130,"35.4"
"300","Verlies toerisme","Niet belangrijk","Jagers",49,314,"15.6"
"301","Verlies toerisme","Niet belangrijk","Landbouwers",26,194,"13.4"
"302","Verlies toerisme","Niet belangrijk","Natuurvereniging",37,130,"28.5"
